To;72;0.0375234521575985%
feel;71;0.037002293099854075%
own;70;0.036481134042109654%
alone;69;0.03595997498436523%
even;69;0.03595997498436523%
blow;68;0.035438815926620806%
standing;68;0.035438815926620806%
officer;68;0.035438815926620806%
hard;67;0.03491765686887638%
forward;67;0.03491765686887638%
wall;67;0.03491765686887638%
For;67;0.03491765686887638%
between;67;0.03491765686887638%
With;67;0.03491765686887638%
called;66;0.03439649781113196%
grinned;66;0.03439649781113196%
since;66;0.03439649781113196%
A;65;0.03387533875338753%
might;65;0.03387533875338753%
Here;64;0.03335417969564311%
brought;64;0.03335417969564311%
keep;64;0.03335417969564311%
beside;64;0.03335417969564311%
pine;63;0.03283302063789869%
top;63;0.03283302063789869%
automatic;63;0.03283302063789869%
His;63;0.03283302063789869%
door;63;0.03283302063789869%
hold;63;0.03283302063789869%
cup;62;0.03231186158015426%
cut;62;0.03231186158015426%
happened;62;0.03231186158015426%
sentry;62;0.03231186158015426%
spoke;62;0.03231186158015426%
onto;62;0.03231186158015426%
ahead;62;0.03231186158015426%
arm;62;0.03231186158015426%
Roberto;62;0.03231186158015426%
Go;61;0.03179070252240984%
front;61;0.03179070252240984%
fear;61;0.03179070252240984%
movement;61;0.03179070252240984%
die;60;0.031269543464665414%
eat;60;0.031269543464665414%
post;60;0.031269543464665414%
Republic;60;0.031269543464665414%
cold;60;0.031269543464665414%
our;60;0.031269543464665414%
boy;60;0.031269543464665414%
Oh;59;0.030748384406920994%
fascists;59;0.030748384406920994%
ll;59;0.030748384406920994%
almost;59;0.030748384406920994%
Get;59;0.030748384406920994%
its;59;0.030748384406920994%
wire;59;0.030748384406920994%
comes;59;0.030748384406920994%
Joaquin;58;0.03022722534917657%
noise;58;0.03022722534917657%
need;57;0.029706066291432145%
arms;57;0.029706066291432145%
Come;57;0.029706066291432145%
smiled;57;0.029706066291432145%
firing;57;0.029706066291432145%
train;57;0.029706066291432145%
pulled;57;0.029706066291432145%
short;56;0.02918490723368772%
being;56;0.02918490723368772%
got;56;0.02918490723368772%
rocks;56;0.02918490723368772%
passed;56;0.02918490723368772%
name;56;0.02918490723368772%
times;55;0.028663748175943297%
shoot;55;0.028663748175943297%
re;55;0.028663748175943297%
Well;55;0.028663748175943297%
reached;55;0.028663748175943297%
either;55;0.028663748175943297%
thinking;55;0.028663748175943297%
Madrid;55;0.028663748175943297%
water;54;0.028142589118198873%
God;54;0.028142589118198873%
full;54;0.028142589118198873%
may;54;0.028142589118198873%
wind;54;0.028142589118198873%
why;53;0.02762143006045445%
showed;53;0.02762143006045445%
legs;53;0.02762143006045445%
pass;53;0.02762143006045445%
bring;53;0.02762143006045445%
hair;53;0.02762143006045445%
hast;52;0.02710027100271003%
va;52;0.02710027100271003%
Nothing;52;0.02710027100271003%
Marty;52;0.02710027100271003%
smell;52;0.02710027100271003%
blanket;52;0.02710027100271003%
tight;52;0.02710027100271003%
care;52;0.02710027100271003%
robe;52;0.02710027100271003%
empty;51;0.026579111944965605%
stream;51;0.026579111944965605%
young;51;0.026579111944965605%
pocket;51;0.026579111944965605%
feet;51;0.026579111944965605%
Take;51;0.026579111944965605%
Nor;51;0.026579111944965605%
moment;50;0.02605795288722118%
watch;50;0.02605795288722118%
possible;50;0.02605795288722118%
ve;50;0.02605795288722118%
stopped;50;0.02605795288722118%
mountains;50;0.02605795288722118%
talking;50;0.02605795288722118%
also;50;0.02605795288722118%
really;50;0.02605795288722118%
fast;49;0.025536793829476757%
sight;49;0.025536793829476757%
myself;49;0.025536793829476757%
open;49;0.025536793829476757%
Maybe;49;0.025536793829476757%
tomorrow;49;0.025536793829476757%
beautiful;48;0.025015634771732333%
start;48;0.025015634771732333%
rabbit;48;0.025015634771732333%
part;48;0.025015634771732333%
ground;48;0.025015634771732333%
doing;48;0.025015634771732333%
rock;48;0.025015634771732333%
remember;47;0.02449447571398791%
Is;47;0.02449447571398791%
today;47;0.02449447571398791%
pack;47;0.02449447571398791%
sleep;47;0.02449447571398791%
give;47;0.02449447571398791%
edge;47;0.02449447571398791%
moved;47;0.02449447571398791%
sky;47;0.02449447571398791%
box;47;0.02449447571398791%
Who;46;0.023973316656243485%
handed;46;0.023973316656243485%
orders;46;0.023973316656243485%
Very;46;0.023973316656243485%
